"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","text"
"25",1,2,0,0,3,1,1,3,0,3,3,".@BTS_twt share their favorite film musical moments at the #Oscars. https://t.co/YILAwH0cbk https://t.co/tn1Yjg3D51"
"26",0,0,0,0,0,0,0,0,0,0,0,"Jared Leto has an oscar but this guy doesn't
...
Fuck the oscars. https://t.co/zg3p1Rri0v"
"27",0,0,0,0,0,0,1,0,0,0,0,"Checking in after a little internet break. How were the Oscars?"
"28",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"29",1,0,0,0,0,0,1,2,2,0,-2,"Will Smith’s fan support continues to decline after Oscars slap: poll https://t.co/pOWhiPkwt2 #SM https://t.co/PtvNk4Db48"
"30",0,0,0,0,0,0,0,0,0,0,0,"Oscars were last week https://t.co/wGHbdqrAQE"
"31",2,0,0,1,1,1,2,1,2,1,-1,"Comedian Earthquake Blames Jada Pinkett Smith For Not Stopping Will Smith’s Slap, Says She ‘Doesn’t Love Him’ https://t.co/Vji2hiCsTI"
"32",0,1,0,1,1,0,1,1,1,1,0,"If we are forced to go through this 'great reset' i hope it gets rid of the oscars and grammys"
"33",1,0,0,0,0,0,1,2,2,0,-2,"Will Smith’s fan support continues to decline after Oscars slap: poll

https://t.co/wREpnZ4Tbf"
"34",1,0,0,0,0,0,0,0,2,0,-2,"Ricky Gervais thinks he would have evaded Will Smith's anger at the Oscars: “I wouldn’t have told a joke about his wife’s hair... I’d have told a joke about her boyfriend.” https://t.co/TfM93WSULR"
"35",0,1,0,0,0,0,0,0,1,0,-1,"Only three days left...@HansZimmer  in #Budapest on 11 th April. Can't wait!
#DuneMovie #Oscars https://t.co/vudN9RCU6Q"
"36",0,0,0,0,0,0,0,2,0,1,1,"No masks here at usaf, no masking at super bowl or the Oscars, no masks when cdc director speaks to@washu med school, no masks at state of union address… but for 5 yo kids at a school during lunch???? https://t.co/FKNck8gsg4"
"37",0,0,1,0,1,0,0,1,1,2,1,"@Yxlist @Gruesome_Gal It depends I can’t see the meme if he used it before so… And in reality going through all the Oscars best dressed I don’t even know who this person was but he was dressed like Edward Scissorhands so he would’ve been a more appropriate meme. Love Edward Scissorhands and his Style"
"38",0,1,0,0,0,0,0,2,0,2,2,"The only question of the day is at what time will the Oscars release info about their level of support for Will Smith."
"39",0,2,0,0,2,1,1,3,1,4,3,"@suky01 Imo the oscars should have shown it was not OK at the time. WS was allowed to take his seat, get an award and a standing ovation. That wasn't supporting of CR. It is sad. I like WS  Hes an excellent actor. CR handled it all well. Sometimes comedians go too far 1/2"
"40",0,0,0,0,0,0,0,1,0,0,0,"Oscars slapper Will Smith says he turned down 'Django' due to 'violence' https://t.co/oAEsLTxbqG https://t.co/nvSeM23Zfk"
"41",0,0,0,0,0,0,0,0,0,0,0,"cate blanchett wearing jean paul gaultier and jewelry by cynthia bach to the 2000 oscars https://t.co/IYNJlFrbkX"
"42",1,0,1,0,0,0,0,0,1,0,-1,"@joerogan reviewing the #Oscars like the #UFC <U+0001F602> #ProtectourParks3 funny as shit"
"43",1,0,0,0,0,0,1,1,1,0,-1,"Oscars governors discuss sanctions for Will Smith over slap https://t.co/29jg5v6MFQ https://t.co/Fe7OYZ570l"
"44",0,2,0,1,1,0,0,0,0,1,1,"This Ark was so intrigued and entertaining to watch,someone give these rpers oscars. <U+0001F451> https://t.co/1Z0jbLsmGi"
"45",1,0,0,0,0,0,1,0,1,0,-1,"Before Jada ever knew that some day a soft rapper from Philly would set it off at the Oscars and bish-slap Pookie from New Jack City

#WillSmithAssault FlashbackFriday #Oscars Set It Off https://t.co/eUIbFjYMIa"
"46",0,0,0,0,0,0,0,0,0,0,0,"Four Wisconsinites were among the 227 FCC complaints about the Oscars, according to WISN 

Read these… https://t.co/O38cp3njiu"
"47",0,1,0,0,0,0,0,0,1,1,0,"Amy Schumer addresses claims she stole a joke she told about Leonardo DiCaprio at the #Oscars: https://t.co/7ALwmqO1mj https://t.co/ES8vzBIVWa"
"48",0,2,0,1,1,0,0,0,0,1,1,"This Ark was so intrigued and entertaining to watch,someone give these rpers oscars. <U+0001F451> https://t.co/1Z0jbLsmGi"
"49",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"50",1,0,0,0,0,0,1,1,1,1,0,"Will Smith: Academy to decide on sanctions against actor for Oscars slap https://t.co/tBGWOmS4xf"
"51",1,0,0,0,0,0,0,0,2,0,-2,"Ricky Gervais thinks he would have evaded Will Smith's anger at the Oscars: “I wouldn’t have told a joke about his wife’s hair... I’d have told a joke about her boyfriend.” https://t.co/TfM93WSULR"
"52",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"53",0,0,0,0,0,0,0,1,0,0,0,"Oscars slapper Will Smith says he turned down 'Django' due to 'violence' https://t.co/oAEsLTxbqG https://t.co/nvSeM23Zfk"
"54",3,1,4,4,0,3,0,0,4,0,-4,"I want to be mad at the dude for the crap he pulled at the Oscars but its so painful to watch what this evil woman is doing to this man. https://t.co/4tg7t2O0E0"
"55",0,1,0,0,0,0,1,1,0,1,1,".@SadhguruJV was interviewed by @FRANCE24 news network. The gripping conversation revolved around the #SaveSoil movement and its burgeoning global impact. Sadhguru also answers a question about the recent incident involving Will Smith at the Oscars. https://t.co/EpcmCj4juN"
"56",0,0,0,0,0,0,0,0,0,0,0,"This video gives insight into their relationship with Jada seemingly ignoring his request.
https://t.co/fCLzbJjLMU"
"57",0,0,0,0,0,0,0,0,0,1,1,"@MichaelVaughan Best Script #Oscars goes to The TATA @IPL"
"58",1,0,0,0,0,0,1,1,1,0,-1,"Will Smith’s Memoir Surges On Best-Seller Lists After Oscars Slap https://t.co/cLEwGRGpvN https://t.co/LzFv4b8hX1"
"59",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"60",1,1,0,1,1,0,1,0,1,0,-1,"Kylie Minogue raving about Lady Gaga after her 2015 Oscars performance <U+0001F49C> https://t.co/PuKWEkMptX"
"61",0,0,0,0,0,0,0,0,0,0,0,"@SarahKSilverman @Baddiel I wish YOU had been the presenter at the Oscars"
"62",1,0,0,1,0,0,1,0,1,0,-1,"@QuillGarrett @halftwottered She won't win any Oscars for that little scene. All staged and shock on que. They must think we are dumbasses."
"63",2,0,1,1,0,1,0,1,3,1,-2,"I’ll bet this husband really wanted to kick some ass last week after the disrespectful comments and insults directed at his wife last week.  Instead of reacting, he comforted his wife and assured her that everything is okay. #Oscars #ToxicMasculinity #WillSmith https://t.co/mBytxdd2I6"
"64",1,0,0,0,0,0,0,1,1,1,0,"Minamata's Depp “He’s astonishing in it and looks so much like Smith in the film. I watched him find the meaning in the words, connect with those words &amp; connect w/Bill Nighy, It was like watching an acting master class. He was even called “Gene” on set” https://t.co/BXYWf6PPTe"
"65",0,0,0,0,0,0,0,0,0,1,1,"The last episode of ‘ROAD TO THE #OSCARS’
is OUT NOW <U+0001F64C>

@1DavidLong + @ErickWeber discuss #Oscars2022 / #WillAndChris before looking forward towards #Oscars 2023 and the likes of Damien Chazelle and #Babylon + others!
#AcademyAwards

DOWNLOAD NOW
<U+0001F447>
<U+0001F4F1><U+0001F4BB>: https://t.co/f8ubv6wGFQ https://t.co/7PNSJj78X2"
"66",3,2,1,2,0,0,2,1,3,3,0,"People, this is the definition of privilege. It’s also a slap in the face (pun DEFINITELY intended) to people that experience ACTUAL trauma and have to continue to work, like our LEOs, FFs, EMTs/Medics, healthcare, military, and victims of violent crime <U+0001F926><U+0001F3FB><U+200D><U+2640><U+FE0F> https://t.co/nw0c04KqTy"
"67",1,0,1,0,0,0,0,0,1,0,-1,"we are robbed because timothée chalamet still didn’t get his oscars for these roles AND I WILL NEVER SHIT UP ABOUT IT!! GIVE HIM HIS OSCARS ! https://t.co/4GAliJbgyl"
"68",0,0,0,0,0,0,0,1,0,1,1,"@nathaliejacoby1 When watching the Oscars and the Grammys you don’t know who any of the winners are."
"69",0,0,0,0,0,0,0,0,0,1,1,"He's trying to keep the Academy from taking his Oscar. https://t.co/njde2I5VeU"
"70",0,2,1,0,0,1,2,1,2,4,2,"Today, the academy’s board of governors is set to meet to determine what disciplinary action it will take against Will Smith.

Whatever the outcome, the incident is likely to leave a stain on both Smith’s public image and the entire film industry. https://t.co/kvGNE0K0MX"
"71",0,1,0,0,0,0,1,1,0,1,1,".@SadhguruJV was interviewed by @FRANCE24 news network. The gripping conversation revolved around the #SaveSoil movement and its burgeoning global impact. Sadhguru also answers a question about the recent incident involving Will Smith at the Oscars. https://t.co/EpcmCj4juN"
"72",1,0,0,1,0,1,1,3,1,1,0,"4mo living in LA I have:
• met the COO of the Oscars 
• shot Pharrell
• Met/shot the creator of BAPE, Nigo
• connected w Coodie &amp; Chike 
• shot two Essence related events 
• locked in 2 artist shoots off the strength of my personal projects"
"73",0,0,0,0,0,0,0,0,0,0,0,"Me watching #Oscars

#DragRace https://t.co/BMcmh4GUWZ"
"74",1,0,0,0,0,0,0,0,2,0,-2,"Ricky Gervais thinks he would have evaded Will Smith's anger at the Oscars: “I wouldn’t have told a joke about his wife’s hair... I’d have told a joke about her boyfriend.” https://t.co/TfM93WSULR"
"75",1,0,1,1,0,1,0,0,1,1,0,"The #Oscars were ruined after #WilllSmith slapped #ChrisRock cuz no one was paying attention. Most were online looking to…"
"76",0,0,0,0,0,0,0,0,0,0,0,"Billie at the Oscars a few weeks ago! https://t.co/8b9qa8BsO7"
"77",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"78",0,1,0,1,2,0,1,2,1,4,3,"@MusicMoviefan27 @Variety @philiplord @chrizmillr I think this all started with the way the Academy introduced the Animation category for the Oscars (making it seem like entertainment purely for kids) and when one of the nominees was a beautifully animated adult documentary about escaping from two countries to be free (Flee)."
"79",1,2,0,1,2,1,0,1,2,4,2,"#MitchellsVsMachines producers @philiplord and @chrizmillr demand more respect for animated films: “During the pandemic, when much physical production was shut down, animators began working from home. These films kept our business afloat.” https://t.co/KFJJcts6oH https://t.co/anmImubVKD"
"80",0,0,0,0,0,0,0,0,0,0,0,"@jjuniexings OH AM SORRY ITS JIST OSCARS CAT IS SOUGLY"
"81",1,0,0,0,0,0,1,2,1,0,-1,"Poll: Support for Will Smith Eroded Fast in Days Following Oscars Slap https://t.co/5a3vTW3V9B"
"82",0,0,0,0,1,0,1,2,0,6,6,"Beloved Will Smith has set a whole new standard for what it means to ""protect"" and honor your wife - - - Be Mindful! And . . . in the midst of it, Beloved Mr. Will Packer did and amazingly phenomenal job producing this years' Oscars! Yes to the Wills!"
"83",1,5,1,1,5,1,4,4,0,5,5,"Wrote it before the Oscars: I truly hope #AndrewGarfield wins the Best Actor award for his magnificent Jonathon Larson in tick, tick...BOOM. An utterly beautiful, gut-wrenching, straight from the heart performance. I loved the movie too, a superbly crafted musical.
Watch the film"
"84",0,0,0,0,0,0,0,0,0,0,0,"A little more @RealChalamet outtakes for you fans of #TimotheeChalamet 
He killed it last night in @LouisVuitton at the #Oscars #Oscars2022 
#photo #NFTartist https://t.co/Zxx1BeCa3c"
"85",0,0,0,0,0,0,0,2,1,1,0,"Don't let Will Smith smacking Chris Rock distract you from the fact that Samuel L. Jackson won his first Oscar and Denzel Washington presented it to him. 
#Oscars #MoviesWithDME https://t.co/xNHO6CRTVE"
"86",0,0,0,0,0,0,0,0,0,0,0,"Hey @DickWolfU how are you? You see @reba the other day at the Oscars?"
"87",0,2,0,1,1,0,0,0,0,1,1,"This Ark was so intrigued and entertaining to watch,someone give these rpers oscars. <U+0001F451> https://t.co/1Z0jbLsmGi"
"88",0,4,1,2,2,2,2,2,1,3,2,"Watch Billie's performance of ""No Time To Die"", the Academy Award-winning @007 theme song, at the 94th #Oscars. @TheAcademy https://t.co/0kOw3AIJaq https://t.co/ZkLMazEFOU"
"89",0,0,0,0,0,0,0,0,0,0,0,"The Oscar for Best Original Song goes to... #Oscars https://t.co/GviJzb3XZo"
"90",2,0,1,1,0,0,2,2,2,3,1,"@SadhguruJV @DelanoDSouza <U+0001F534>Indian<U+0001F1EE><U+0001F1F3> mystic @SadhguruJV counts #WillSmith among his followers... what does the famous #guru<U+0001F9D8><U+200D><U+2642><U+FE0F> think about the infamous #Oscars<U+0001F3AC> slap, and #nonviolence in general?

FRANCE 24's @DelanoDSouza speaks with #Sadhguru in an exclusive #interview<U+2935><U+FE0F> https://t.co/KHYbqcvkdc"
"91",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"92",1,1,1,1,1,2,1,1,2,2,0,"@sharrell_s @YouTube I think <U+0001F914> we should kill this story honestly… it’s not looking good… I just find it funny the Oscars would use Chris Rock and he is well known for racists jokes and promoting racism in comedy.. that just proves they could care less about us. I’m just disappointed that we find"
"93",0,0,0,0,2,0,0,0,0,2,2,"T 2480 - And news comes in that film 'SARBJIT' has been selected for the OSCARS .. our wishes our support our love and our pride !!"
"94",1,0,0,0,0,0,1,0,2,0,-2,"1 min silence for Every Indian Awards who ignore #Sarbjit but this movie reach to Oscars ! #SarbjitForOscars ! Tight Slap https://t.co/wQBTS3BBH7"
"95",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"96",1,0,1,0,0,0,0,0,1,0,-1,"@TheBasicExpert1 And the oscars accademy like shit films."
"97",0,0,0,0,0,1,0,0,1,0,-1,"i'm jennifer lawrence and my uni auditorium is the oscars stage (i also fell in front of a bunch of people)"
"98",1,0,0,0,0,0,1,1,1,0,-1,"Oscars governors discuss sanctions for Will Smith over slap https://t.co/GU35rPaBsa"
"99",1,0,0,0,0,0,1,2,2,0,-2,"Will Smith’s fan support continues to decline after Oscars slap: poll https://t.co/6lLoHIfKUn"
"100",0,2,0,0,1,0,0,2,0,5,5,"This week's episode of Catholic League Forum addresses the Oscars, NYC Mayor Eric Adams, and sexual engineering of children in Florida; also discussed is a major victory the League had in stopping an anti-prayer  resolution in Suffolk County, NY. https://t.co/Y52R0Ztt3Z"
"101",0,0,1,1,0,1,0,1,3,2,-1,"Will Smith slaps Chris Rock at Oscars. Biden slaps Putin on world stage. Toxic masculinity. World in trouble. National debt to go through the roof. Biden causing inflation &amp; blaming Putin. Dollar about to implode. Buy more gold, silver, Bitcoin, Ethereum, &amp; Solana before WW3."
"102",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"103",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"104",2,2,1,1,1,0,1,1,2,1,-1,"Jay-Z and Beyoncé crossing a picket line to party shows how shallow celebrity activism really is | Emma Dabiri https://t.co/lzSsNo7LGw"
"105",0,2,1,0,3,2,2,2,1,5,4,"The #BeautyAndTheBeast best picture nomination left ""some worried an animated movie might win every year, a sentiment that, in part, led to the creation of the best animated feature award... for some, to keep them from winning the 'real' prize."" https://t.co/KFJJctJHgf https://t.co/8BtxNRspZM"
"106",0,0,0,0,0,0,0,0,0,0,0,"We have some serious contenders for the next Oscars <U+0001F923> https://t.co/3wWRSW2i5v"
"107",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/oJNg7YYOHa via @nypost"
"108",1,0,0,0,0,0,1,0,1,0,-1,"@earthtolydia @of_jazzy Ask Jimmy Carr if you can do an Oscars slap bit with him then suplex him through tla table."
"109",1,1,0,1,0,0,0,1,1,2,1,"I wrote a defense of thin skin and how it’s fine if you don’t want to take a joke, https://t.co/kIZVIsyy7U"
"110",0,1,0,0,0,0,1,0,0,1,1,"It’s an old video that was already very public and has absolutely nothing to do with the Oscars incident."
"111",1,0,0,0,0,0,1,1,1,1,0,"Will Smith: Academy to decide on sanctions against actor for Oscars slap https://t.co/tBGWOmS4xf"
"112",0,0,0,0,0,0,0,0,1,0,-1,"@Kate18866240 @THR @WillSmithQts @chrisrock It was a joke Will should have laughed it off and address Chris about it after the Oscars were over."
"113",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"114",1,0,1,0,0,1,0,0,2,1,-1,"Ricky Gervais defends Chris Rock`s Oscars joke by mocking Alopecia - https://t.co/A1E6bDagvp https://t.co/DoXdANvM2m"
"115",1,1,0,0,3,0,1,1,1,5,4,"Tonight is the Oscars. New films to celebrate. But, Friday night was the Governors Awards. Legends to salute. Samuel L. Jackson, Elaine May, Liv Ullman and Danny Glover. Really beautiful event. Their extraordinary speeches and career reels hit my heart. Felt truly inspired. https://t.co/Eji6SnOKXi"
"116",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/r9SmNDvRy7 https://t.co/ExPykNnM6L"
"117",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"118",0,0,0,0,0,0,0,1,0,0,0,"Oscars slapper Will Smith says he turned down 'Django' due to 'violence' https://t.co/oAEsLTxbqG https://t.co/nvSeM23Zfk"
"119",1,2,0,0,1,0,1,2,1,2,1,"Sunday's star-studded #Grammys skyrocketed to the top of Variety Trending TV Charts, presented by @DIRECTV. Meanwhile, people are still talking about the slap heard 'round the world at last week's #Oscars. https://t.co/VaHuzF8gkW"
"120",0,2,0,1,1,0,0,0,0,1,1,"This Ark was so intrigued and entertaining to watch,someone give these rpers oscars. <U+0001F451> https://t.co/1Z0jbLsmGi"
"121",0,0,0,0,0,0,0,0,0,0,0,"Right on Jamie Lee !!! https://t.co/Tdg9JD8baX"
"122",0,1,0,1,1,0,0,0,2,1,-1,"I wanna thank my mum who brought me to this world, and the amazing friends here on the platform..

Oh wait this is not the Oscars..

ITS WAY BETTER <U+0001F62D><U+0001F62D>

See you soon baby @MSuppasit 

#MewSuppasit #<U+0E21><U+0E34><U+0E27><U+0E28><U+0E38><U+0E20><U+0E28><U+0E34><U+0E29><U+0E0F><U+0E4C> #Before430 https://t.co/JkHJ5Qqtyp"
"123",1,0,0,0,0,0,1,1,2,0,-2,"Will Smith's fan support continues to decline after Oscars slap: poll https://t.co/x3yha67vPT https://t.co/jPGv8iPH0S"
"124",0,0,1,0,1,0,0,2,1,3,2,"Phil Lord and Chris Miller recall execs telling them that “if we played our cards right, we would one day 'graduate to live-action'” and that a “certain animated movie we made was so enjoyable that it reminded them of ‘a real movie.’”

(Source: https://t.co/ZgQYJAtOgs) https://t.co/80g8pKTa0r"
"125",0,0,0,0,0,0,0,0,0,0,0,"Minamata‘s Screenwriter Talks Biopics, Oscars and Johnny Depp https://t.co/kfLImSeLCO via @LAweekly 
#MinamataFilm #Minamata #JohnnyDepp"
"126",1,0,1,1,1,0,1,0,1,1,0,"#WillSmith says he wants to be a vessel for love. Love is not violent. Love is not what was displayed on a global stage tonight. #Oscars"
"127",2,0,0,1,0,0,1,1,3,0,-3,"Video of Will Smith's frustration with wife Jada Pinkett Smith resurfaces after Oscars slap scandal https://t.co/ba4dERyRaD"
"128",0,0,0,0,0,0,0,1,0,0,0,"Oscars slapper Will Smith says he turned down 'Django' due to 'violence' https://t.co/oAEsLTxbqG https://t.co/nvSeM23Zfk"
"129",0,0,0,0,0,0,0,0,0,0,0,"A little more @RealChalamet outtakes for you fans of #TimotheeChalamet 
He killed it last night in @LouisVuitton at the #Oscars #Oscars2022 
#photo #NFTartist https://t.co/Zxx1BeCa3c"
"130",0,0,0,0,0,1,0,0,1,1,0,"<U+0001F602><U+0001F923><U+0001F923><U+0001F923><U+0001F602>  Ricky Gervais Says Jada's Alopecia 'Not a Disability,' Community Reacts
https://t.co/yMZ5RU6uUp"
"131",0,0,0,0,1,0,1,0,0,1,1,"@ajlieshere @RebuffTheMuff Like little E Page at the Oscars. Hilarious."
"132",1,0,0,1,0,1,0,0,1,0,-1,"Hot take : Nicole Kidman should have won her first two Oscars in consecutive years for Gus Van Sant’s To Die For (Susan Sarandon year) and for Jane Campion’s The Portrait of a Lady (Fargo year). There, I said it. https://t.co/eUmn6gYxTo"
"133",0,0,0,0,0,0,0,1,0,1,1,"At this point anybody still talkin about will smith smackin Chris rock at the oscars ain’t got no life fr"
"134",1,0,0,0,0,0,1,0,1,0,-1,"Before Jada ever knew that some day a soft rapper from Philly would set it off at the Oscars and bish-slap Pookie from New Jack City

#WillSmithAssault FlashbackFriday #Oscars Set It Off https://t.co/eUIbFjYMIa"
"135",0,0,0,0,0,0,0,1,0,1,1,"Matt Damon, 'Invictus' (Best Supporting Actor, 2009) #Oscars #oscarsclip https://t.co/hpFGuclHrj"
"136",0,1,1,0,1,1,1,1,0,1,1,"Don't miss the #Oscars winning #CODAFilm, back in cinemas across the UK now! https://t.co/yznkb448nh https://t.co/0vgN1HT2L6"
"137",0,0,0,0,0,0,0,0,0,0,0,"The Oscars are named after the original great movie maker Oscar Micheaux <U+0001F3F9><U+0001F985><U+0001F3F9><U+0001F985> https://t.co/9FCsblclbj"
"138",1,0,1,1,0,1,0,0,1,0,-1,"@ARdoppelganger @CalebGoPackGo @JayDizzyD I feel bad Will shouldn’t have stepped up for her during the Oscars cause she clearly doesn’t care for him"
"139",0,0,0,0,0,0,0,1,0,0,0,"Oscars slapper Will Smith says he turned down 'Django' due to 'violence' https://t.co/oAEsLTxbqG https://t.co/nvSeM23Zfk"
"140",4,1,3,2,1,4,1,3,4,2,-2,"<U+0001F447><U+0001F3FE> FIVE DAYS for #WillPacker to go on #Gma -to cover his own arse!#ChrisRock own brother says this is a lie-Nobody asked Chris anything!Same network that tried to clean up for #JussieSmollett hate hoax  &amp;  #AlecBaldwin killing #HalynaHutchins !
 #WillSmith #Oscars #Outnumbered https://t.co/iiWLCcJEzn"
